source_id,l,b,parallax,phot_g_mean_mag,bp_rp
418551920284673408,121.41661328388982,-6.30240270432019,14.090976249252234,1.9425238,1.1434835
4357027756659697664,8.842182814972908,32.1964085499275,20.411292350652413,2.0164251,1.5633104
5589311357728452608,249.0106070233406,-11.279046922950503,5.762063161817684,2.0832374,1.5425804
4993479684438433792,319.9946523277466,-73.97702643416451,39.91825815729799,2.0899775,1.2694821
4038055447778237312,356.43206131464103,-9.676931227017876,23.885852068095137,2.1164951,1.8272674
1279798794197267072,39.38482017601684,64.78442409557411,13.82667260913517,2.1833525,1.1840065
160886283751041408,170.5901021512878,-6.159553238084734,7.249065034494049,2.1975422,1.4451852
4302054339959905920,48.726049644665174,-7.081229778556317,5.589928355256642,2.223692,1.4782449
1222646935698492160,41.86923490282656,53.77174103751394,42.24080076261629,2.2693703,0.529583
5111187420714898304,205.16290447534314,-44.47273409242709,17.00162879163835,2.2707934,1.689486
1563590579347125632,113.10933803176036,61.57901562974238,40.213284471127004,2.282647,0.5343387
4049506483413484672,3.000851008988761,-7.154759394437615,7.846769491115783,2.296982,1.4261992
6227443304915069056,337.2219675920316,28.617743367191242,12.538654525627177,2.3034124,1.9100549
804753180515722624,177.90309949981196,56.3599186593195,17.798718499448466,2.32451,1.645093
4429785739602747392,14.203542621281152,44.07858224212571,43.94497411580315,2.3253543,1.3348399
2106630885454013184,73.8154782833156,17.791213600180843,10.440410406499382,2.3616831,2.4237096
5922444483103229952,335.36706860486674,-11.012888323548049,4.560053792219337,2.3912818,1.4427056
6407842789021567872,330.22141386926734,-47.962745671988884,17.732356212677455,2.396663,1.438695
856096765753549056,149.1654727081814,54.80423185987107,38.60307997876443,2.3985364,0.49357748
3704342295607157120,305.5084515752932,66.24818074632392,17.4064804454874,2.4037774,1.8989389
4473334474604992384,29.213938748586195,17.191784089672726,39.22844495769126,2.4423249,1.2892413
3501215734352781440,297.87397176050865,39.307226610248094,22.00492733579523,2.448283,1.0926499
2202630001603369856,100.59523433426546,4.314955698654524,0.11902358415373226,2.450726,2.2709079
4629125170492116224,289.1286670045961,-37.79830447625778,15.07934675483247,2.4740036,1.8262122
702343774145932544,190.2350329714053,44.721329154468556,14.704195701416294,2.488654,1.6008933
1625209684868707328,92.58484789259533,40.95104895524677,35.71632757836309,2.494415,1.0970564
6126469654585981952,295.99623680978647,11.568211936036825,5.7179329578318505,2.508257,0.25244522
5917537534527580160,332.8009433908013,-8.204912616939904,5.772484443283007,2.5107856,1.6126139
5361403934691772160,283.02718966558683,8.5723178688244,29.050584144755422,2.5133939,1.1023693
4076915349846977664,7.6594547047253245,-6.5219569812438065,42.91983428306095,2.5435061,1.2009923
5306951892646516992,278.2085283687177,-4.107881828268747,14.623396609093676,2.5465453,1.647223
1297565458994346240,39.00745509369674,40.21330823959925,22.002254438170677,2.547638,1.1411304
1415230383034813824,79.5790223486509,33.3103286631326,8.919816494942994,2.5482864,1.1480441
2971266110612490624,220.94712137503487,-25.141334787271127,1.6817195427885396,2.5535128,0.6914878
4337352305320149760,6.281364055594375,23.587764495688642,7.408845727983025,2.5565956,0.44186306
5099455184968674560,212.08875450323885,-55.99535059087712,10.615268776173938,2.5895581,2.011383
5502164890740285696,260.16356724746026,-20.86254084947207,18.757713279082175,2.6184993,1.3124249
3736865265441207424,312.3207645456286,73.63500917732931,30.210957333166505,2.619051,1.1567237
2968097043228517120,223.56160477956453,-27.201480203321506,20.869734045876413,2.627176,1.0872264
3490234568129160704,290.58975813575387,39.25985541351886,10.598376382247242,2.6297014,1.384757
5512070906394195968,255.73502916084192,-11.911814935904816,17.023374330493326,2.6405158,1.6322141
3384529341302871296,189.53606511995986,9.629022445650634,3.747653899374491,2.6483977,1.4132671
447071293401293056,142.06748757933045,-4.336825737030353,14.125159961030231,2.651,1.0181456
2026116260337482112,62.10958590267212,4.571479483290405,8.981563552668588,2.651682,1.3495245
2900546759663847168,238.80900024049117,-28.857315980697464,11.400786448797566,2.6532035,0.29323173
2962546605447869184,223.2470411700469,-32.73117081406037,15.599908298075055,2.6534927,1.5497768
779106556394253824,165.80428611336472,63.230273723256886,23.227226550456237,2.68003,1.3199959
510204838759030144,127.19141433126443,-2.3519708155622765,32.02972419177956,2.6805298,0.5723715
4683897617110115200,304.75950466520743,-39.78480091144278,133.71940556671353,2.6807318,0.92413735
1339952869195300608,60.66071586556423,34.34239203522656,8.899064345249363,2.7025177,1.4799106
5859405805013401984,299.7502010155049,-5.298631141709923,9.991496143923554,2.7034264,2.3211966
2671038928727970944,48.022857295215445,-37.87916662785416,5.972785301344111,2.7120852,1.0929565
1381119031215320576,66.15800223275293,43.71447970993045,8.486623721850398,2.7236698,3.1317515
4049975081571729920,0.917726749244229,-4.538257112738408,32.26965661295192,2.7243106,1.2346699
1887953690728237568,92.49576754085456,-24.95359625805879,16.630835440035625,2.7250793,1.109237
2680356911816018048,59.9287610366164,-42.06610362936031,4.94514532586508,2.727835,1.1494417
5239828735016184448,289.59769643564414,-4.901718124396637,7.6371045121724,2.7347076,0.055695772
3557567320183657472,265.05204781265144,37.56166906340152,23.794020354103314,2.7356641,1.3883028
3017190546641718144,209.52210609496424,-19.58346006748752,1.9968658285610956,2.7408419,0.11113644
5698015743046182272,243.14794961023134,4.401689647683576,51.39988628348321,2.7505891,0.78982997
4935615308047192576,280.5286733423656,-72.16661511165753,13.361166787925637,2.7603414,1.6890006
5610441600394646016,239.16882019102553,-10.273802892808336,2.508532778196012,2.7605493,1.7686272
6071060144089351808,298.22879901776184,3.7909592010720985,7.168087771989562,2.7730124,-0.007714033
6194563955869054848,311.09890448879906,39.263788021941714,25.52860508281361,2.776534,1.1548169
3211922645854328832,205.33789803649717,-25.316108432328974,36.24560427650994,2.7777147,0.43548036
641662895638787584,206.81688901918804,48.20421690581766,14.33944287393727,2.7839565,1.0609426
5826168461855385472,321.8433512588567,-7.524484739641266,80.48541193436336,2.784391,0.62880015
4082115215112774272,15.885572136561946,-13.293761629594675,6.241001258151316,2.803014,0.6970482
2887731882922767744,241.33990667471818,-27.056561220291247,36.90381517096654,2.8041787,1.2997231
2255173119658513408,98.65650305553461,22.99406864969404,33.34994526763806,2.8079169,1.2463834
168726523212358272,162.28918183414248,-16.690396717659443,3.855550617532855,2.8219895,0.35094476
6838311796136238976,37.59949154345874,-46.014879067699475,85.94055985093036,2.836813,0.6872513
1824534959611831680,55.76691616838225,-3.3833850986790295,5.967380825829624,2.8368227,1.9357872
6875990375999580544,29.14976303133421,-26.370260540534417,8.396575006308046,2.8368742,1.0786076
205499655242974464,162.78828465348968,1.1785451426453506,0.9878818319946335,2.847648,0.96053123
6674382927491854848,352.5672154507451,-37.20860911597427,32.898854474949125,2.8521497,1.2221763
2769202742740232960,109.43379580633083,-46.684532630333,6.947422027434692,2.8534293,0.09509516
1823067317695766784,57.96703909604529,-5.207421444922561,11.337545204585858,2.8593628,1.6970007
2610370969483589888,62.19204323112082,-55.732512948017124,8.936000082367386,2.8595295,1.9338799
4039970797062166400,353.5028544993728,-4.939959079169788,24.73401438925934,2.860071,1.3463864
5958043164999014400,350.60840886612675,-6.126381001591534,1.4177487203133474,2.8666828,0.9037235
2199493438511811712,103.06251517143087,1.6652821854996802,3.2971978923053005,2.8701382,1.5724754
583588100209595776,222.3425034890619,30.198196228833837,21.313272879490093,2.8702028,1.1994629
5253347574087339776,285.4813853665895,-3.80515958437641,4.304645225574549,2.8710227,1.5570004
2858629802998456576,119.87001368373453,-31.93925524386676,31.573488734557774,2.8720777,1.4206281
6235406071207202688,347.21463601210166,20.23042009442436,9.673294610301134,2.8735147,-0.06000185
