source_id,hip
4611734916632361600,22645
6341430293838655616,92300
5189277588377804672,29078
4612817179671413120,1007
5765748511163751936,62662
4616343279101468288,7302
5190530894194839296,54409
5767038547540875008,87742
5190797010368780928,51723
6346010103365575552,94930
6346770827973026944,88896
5770269325020913280,59731
6343231706201427712,105274
4615219578218188928,19732
5767612458250649216,87414
5192138380195020672,51672
5767955231001147008,82853
5192395047440725760,48294
5782841381491016832,62132
4618313363420299648,9191
6348317359796308352,102868
5207318993641406464,29155
6359606595435265792,91723
5771324581305978880,67146
5772040432096087552,76391
4621382134733200000,26269
5774536632727299968,83924
4619335325118472576,15803
5775072915226316160,80507
6361347740816661376,98771
5772185911227317376,77219
4625207988521509120,18970
4621523696855536256,26194
4631278632736220928,3131
5198926661906152320,52633
4631998018281830272,10504
4621775656816885504,24084
6363701795213177472,89873
6361072519312790656,92877
5774726229763582336,84180
4620501632077536768,12173
5199033383253738112,53961
5199094440508754944,53151
6355178106193511040,110282
6364079889774048384,90421
5208304808894553472,35671
5784778720982159488,66069
6361802629393851776,100303
5202189497020419328,48089
5209277326930199424,41156
5778842423342242048,80057
5200089807769526656,57325
4635627029425567616,804
5788568771921725952,59647
6355315162895321344,110070
5786423212420788608,67670
6353142291696726656,117074
4635905755623153920,4241
5779210209983386880,78558
6353935658055634304,112570
5789101897620485376,62050
5201295319189803392,54744
6413376871563382656,90686
5204176692489853824,51074
6368367057408504448,104346
6357338268586663296,109559
6368598401526931840,103518
5780843878103251584,80241
5215704831388401024,44189
5204776682241237376,50569
4684987885967267712,1462
5204637937618704640,52172
5781662361432078336,78477
6377966721631176320,116309
5214173967604129152,36097
6363579508903483520,100539
5792511414462676224,74615
5781634736202537856,77941
5801573211339123200,85297
5205175839321731328,48530
5837600152935767680,61738
6367529710586251136,97623
5261724409532307328,29427
5204870484327452416,50844
6378623817267968768,113247
5219683890951654912,41565
6357802193773996160,110048
4649437479592074112,24737
4649451017329088000,25270
4652268240994411008,22248
6378879140187941760,114402
5782151059992096640,78596
4640304072716065280,13247
6369186296650266496,104945
5216969407199683072,44192
5792678986908075520,75243
5214570032308409088,36577
5226589549830867968,58086
6367693194220059904,98384
5217040291340942976,45212
5782054436104874752,77593
5793316463136462336,72055
6379011463836084992,114857
6370005879489867776,104188
6418760660310777600,88248
4685876050900066176,3934
5791336002178023040,68445
6358928609077405568,108158
6358978671215784064,109185
5839416370049145984,65153
6380567616387043456,114701
5803422727336130816,85994
5226356281567977216,54273
5220554948977970560,42644
5266148569447305600,28941
4642456989497324544,14180
5794674325636062464,77320
4641897131921393024,16392
6382964410000923520,110105
6416282021801097856,96764
5804347794574216448,84145
4642419434304364160,14979
6373396086155279104,102717
6416899500659864448,94201
5266974646273599616,34035
5809664341311449728,87758
4653614592979688064,20015
5220508151014730368,43629
5220639164696365312,42532
6374311463944919296,101327
4689306939449424128,3616
5797724061659991936,69994
5242247454402441344,48907
5795519884442327808,74254
4644985866242056448,11598
5842913572934429696,61751
6375129053919051520,103129
5807113238119430912,80002
5798508803725787392,73219
6373705598678266368,102376
6374589361212805760,100466
6422451312825157248,98414
4690102539182998144,3488
5219422039685249408,45825
6386242161537876480,117248
6418749806931325952,92887
5795787581164356480,76011
5807012254848459392,81141
4645230576298626944,11628
5231171970702032640,53272
5798961802516156928,74574
6422716707443529472,100106
5269479368122136064,40105
6381448801941466880,114073
5841064954608725760,66896
5267550721647463936,35999
6381503953616771200,115151
5269853167715882880,40540
4702978060861316224,108
5267467399281457408,34706
5221888794021188480,41985
5222441126815890944,43823
5846908206078780288,67767
5846287806635272064,70493
6417553057243290112,97185
5242727734820594816,48523
5233860929478165888,57928
5819924953771856000,77264
5808810123854224384,80638
5268214036396228224,33680
5855454160190522240,61829
5270472158402355456,38782
5819383513010645504,79402
5844763436850792960,63858
5843982371279361664,64730
5808270508468080512,82322
4691996001284763136,4088
5270696836731782144,37895
5279111639739470336,31474
6385306545862350464,110999
6396437348747317248,107443
5279589377547576704,29954
5223636158517286400,43974
6375668776688146688,105328
4666742108979280768,18861
5270832076661502976,38576
5232516158028349568,51508
6432860664280738688,90623
5855710552582280064,62461
6399700561819646464,105509
5232587660645975296,51169
5223757203575436160,44734
4655565023563760512,22567
5243947707397474048,48452
5850310507386460288,67345
5847681231479895040,69120
5247015383497152768,45845
4656518506269642496,20823
5821137337141678976,79422
4647378983363899264,14325
4659307000897857280,27186
5283099534066925056,28563
4658752335964960384,24823
5235260294227819904,55140
5856749075679987840,60862
6433173780282901504,90986
6424170811572203520,99174
5244319380987749504,47958
5857517668669456896,64329
5821496774363489664,80127
5800525617301963136,73405
5823796540383156352,76177
6386041088348731776,111134
5237966471537793920,53983
6434564460631076864,93015
6425004099649401984,102860
