id,name,x,y,z,vx,vy,vz,mag,ci,dist
11333,,36.1065,26.783472,4.957263,-0.00001028,0.00001588,-0.00001093,6.79,0.399,45.2284
11400,,29.332714,21.981588,6.594193,0.00000521,-0.00006265,-0.00004309,6.45,0.45,37.2439
11406,,28.705948,21.528165,-18.786561,-0.00000698,-0.00002277,-0.00003677,9.1,0.879,40.5022
11410,,27.403401,20.554041,20.561013,-0.00000365,0.00001651,-0.00001164,10.12,1.205,39.9521
11412,,14.150991,10.615795,-10.591553,-0.00002991,0.00003354,-0.00000634,10.89,1.449,20.6186
11416,,26.72165,20.055202,4.524433,-0.00000691,0.00001617,-0.00003086,9.91,0.952,33.7154
11425,Gl 98A,13.661346,10.272558,1.324855,0.00000288,0.00001125,0.00002071,8.69,1.397,17.1438
11449,Phi For,30.918372,23.304669,-25.929985,0.00001092,0.00001348,-0.00000978,5.13,0.089,46.5983
11450,,9.193135,6.929041,-44.101143,0.00000319,-0.00003569,-0.00000494,10.13,1.065,45.5789
11459,12    Tri,34.556488,26.079526,24.663244,-0.00000742,-0.00001008,-0.0000306,5.29,0.311,49.8256
11480,,37.173142,28.109233,1.205357,0.00000232,-0.00000218,-0.00002083,8.56,0.697,46.62
11515,Gl 99A,17.629734,13.378641,13.968951,-0.00004605,0.00003601,0.00000504,9.57,1.33,26.1712
11521,13    Tri,21.679567,16.456917,15.671278,0.00003057,0.00001071,0.00003049,5.89,0.591,31.407
11530,GJ 3160,20.249096,15.385416,5.446905,-0.00000199,-0.00000094,0.00001006,12.0,1.5,26.0078
11538,Gl 100A,14.621447,11.121247,-6.678687,-0.00001275,0.00006326,0.00000858,8.78,1.12,19.5465
11542,Iot Cas,12.456271,9.477611,37.605991,-0.00000173,-0.00000824,0.00000376,4.46,0.153,40.7332
11624,Gl 100.1,21.036334,16.182189,2.445294,0.00001884,0.00002609,-0.00000035,12.79,-0.056,26.6525
11679,,25.752332,19.949415,4.799867,-0.00003507,0.00004857,-0.00001374,10.9,1.34,32.9272
11700,,29.138349,22.643345,14.974987,-0.00002073,0.00001932,0.00001113,8.03,0.666,39.8248
11709,,39.401618,30.645052,0.95339,0.00000743,-0.0000093,-0.00000839,7.46,0.177,49.9251
11711,,25.920351,20.162718,-11.970733,-0.00001878,0.0000268,0.00000447,10.24,1.253,34.9528
11731,,21.219567,16.535026,-7.345955,0.00000292,-0.0000107,-0.00001565,8.67,0.935,27.8862
11755,76Sig Cet,20.289578,15.864382,-7.019183,-0.00002003,-0.00002895,-0.00001054,4.74,0.454,26.6951
11787,,36.053257,28.265897,2.707841,-0.00001926,0.00002416,0.00000426,11.74,1.357,45.8926
11814,29    Ari,22.715311,17.891618,7.766529,0.00000713,0.00000275,0.00000751,6.0,0.572,29.9401
11823,GJ 3167,5.311651,4.186698,-21.697651,0.00000669,0.00002504,0.00000647,8.84,1.045,22.7273
11833,,26.931922,21.24589,4.716314,-0.00002105,0.00002958,-0.00001302,12.0,1.5,34.626
11836,,34.788269,27.446537,-8.094196,0.00002043,-0.00003176,-0.0000199,9.78,0.99,45.045
11848,,18.971978,14.986186,-30.876356,0.00002353,0.00001041,0.00001951,8.37,0.815,39.2157
11877,,6.026173,4.779317,35.179123,-0.00001845,-0.00001008,0.00000453,7.67,0.695,36.0101
11889,,18.645619,14.812374,-42.929469,-0.00001801,0.00002765,0.00000172,6.73,0.441,49.0918
11893,,25.355849,20.150081,37.928891,-0.00005377,0.00009154,-0.00001268,7.77,0.628,49.8753
11911,,33.123773,26.362155,9.138085,-0.00002252,0.00003076,-0.0000071,7.49,0.666,43.3088
11919,,18.474677,14.718824,21.862114,-0.00001379,0.00007002,-0.00001065,7.59,0.677,32.1854
11924,,27.545376,21.94903,-22.975452,-0.00004283,0.00003751,-0.00001551,7.57,0.534,42.0521
11933,Gl 103,6.546404,5.224808,-8.031079,0.00001321,0.00001471,-0.00004158,8.89,1.39,11.6036
11952,,32.875918,26.285841,4.013232,0.00004614,-0.00003978,-0.00011735,9.81,0.906,42.2833
11958,,28.274568,22.614219,-32.797315,-0.0000037,-0.00004313,-0.00003293,9.98,0.985,48.852
11974,,33.806717,27.068345,-14.733623,-0.00001335,0.00003444,0.00003263,11.03,1.268,45.7457
12017,GJ 9085,30.286881,24.380041,-2.419305,-0.00002573,-0.00005874,-0.00007916,6.83,0.67,38.956
12034,,30.427446,24.548319,-3.260335,-0.00002261,0.00002441,-0.00002724,10.19,1.094,39.2311
12036,,17.654831,14.244714,41.104185,0.00000103,0.0000294,-0.00000129,8.42,0.696,46.9484
12056,,35.898959,29.017474,5.344448,-0.00004342,0.00005244,0.00000694,10.51,1.075,46.4684
12066,Gl 104,9.917443,8.022999,4.698446,-0.00002459,0.00000146,-0.00001656,10.68,1.47,13.5943
12077,GJ 1048,15.157256,12.27552,-8.48949,-0.00000507,0.00000711,0.00000123,8.34,1.069,21.2721
12078,,22.030206,17.841788,-14.555817,-0.0000167,0.000002,-0.00002283,9.47,1.06,31.8674
12082,268 G. Cet,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,5.79,0.918,7.1803
12087,,28.471944,23.082991,-19.668738,0.00001308,-0.00000978,0.00000746,8.38,0.77,41.5973
12110,,36.817501,29.952078,15.163606,-0.0000258,0.00005137,-0.00003883,12.33,0.8,49.8256
12112,,20.037465,16.305181,-17.827048,-0.00005634,0.00001485,-0.00004975,11.95,1.407,31.3873
12121,31    Ari,26.300185,21.41781,7.486899,-0.0000219,0.00004287,-0.0000125,5.64,0.516,34.7343
12123,,36.949908,30.09352,10.310196,-0.00003235,0.00004483,-0.0000149,11.73,1.35,48.7567
12124,,21.274273,17.327828,-29.326192,0.00001129,0.0000423,0.00003318,11.03,1.33,40.1606
12126,GJ 9087,18.679022,15.220134,-1.328605,-0.00001645,0.00003532,0.00000612,8.1,0.944,24.1313
12152,30    Ari,28.708466,23.447936,17.008343,-0.00000579,0.00003371,0.000005,7.1,0.41,40.783
12154,Lam2For,16.438611,13.428135,-14.630792,-0.00000612,-0.00000794,-0.00003272,5.78,0.653,25.7798
12157,30    Ari,29.387097,24.012132,17.412602,-0.00000583,0.00003107,0.00000379,6.48,0.51,41.7537
12168,,32.419291,26.513511,27.084478,-0.00001566,0.00001305,0.00000634,6.23,0.515,49.8753
12193,Eta Hor,21.424846,17.568246,-36.164495,-0.00001689,0.00001794,0.00000258,5.3,0.289,45.5581
12229,,6.010741,4.94958,-12.833073,0.00000627,0.0000126,0.0000078,12.36,,15.0105
12256,Iot2For,22.613497,18.692731,-17.071751,0.0000047,0.00002495,-0.00002544,5.84,0.476,33.9443
12274,GJ 9089,22.679259,18.772646,17.561823,0.00000738,-0.00009907,-0.00010925,7.36,0.583,34.2818
12319,GJ 1049,6.826055,5.678155,-14.313176,0.00000261,0.00000016,0.00000131,9.48,1.396,16.8435
12357,83Eps Cet,16.130169,13.482598,-4.419553,-0.00000332,0.00002057,-0.00002739,4.83,0.447,21.4823
12360,Eps Hyi,13.225285,11.057012,-43.245786,-0.00001082,0.00001667,-0.00000565,4.12,-0.061,46.5549
12378,,25.513708,21.369434,-22.363714,-0.00001319,0.00000864,-0.00008967,8.3,0.708,40.0962
12381,,20.044606,16.789617,-24.290419,-0.00000125,0.00001974,-0.00001444,4.74,0.061,35.6888
12393,,20.608404,17.284109,-21.369312,0.00000235,0.00004701,0.00004029,11.24,1.404,34.3525
12403,,14.455314,12.135163,-34.551216,-0.00002815,-0.00001422,-0.00001677,9.44,1.027,39.3701
12411,GJ 3175,16.428845,13.810748,-3.573465,0.00000526,-0.00001465,-0.00000752,5.79,0.524,21.7581
12414,,30.684015,25.806676,4.293219,0.0000076,0.00001952,0.00000122,6.26,0.397,40.3226
12451,Zet Hor,21.75871,18.364799,-39.991207,-0.00000471,0.00000623,0.00000156,5.21,0.411,49.0918
12452,Iot Eri,27.095858,22.870882,-29.600515,-0.00002792,0.00001604,0.0000012,4.11,1.006,46.1894
12460,Gl 105.5,17.802213,15.03266,0.487531,0.00004077,0.00007608,0.00002777,9.51,1.185,23.3046
12476,,29.391001,24.876336,31.270024,-0.00001877,0.0000052,0.0000135,9.09,0.924,49.6032
12484,,22.645134,19.189089,-37.236534,-0.00002304,0.00007605,0.00000438,8.55,0.637,47.619
12497,84    Cet,17.224348,14.611613,-0.274253,-0.0000094,0.00002347,-0.00001382,5.72,0.511,22.5887
12512,,31.856109,27.071313,4.385372,-0.00000997,0.00001354,-0.00001117,10.28,1.46,42.0345
12529,,34.806592,29.614566,-11.860854,0.00000482,0.00000234,0.00001186,5.98,0.429,47.2144
12572,,28.504848,24.366377,-22.635558,-0.00005883,0.00007362,0.00000516,10.51,1.141,43.802
12578,,21.724997,18.577983,-30.148322,-0.00000483,-0.00000148,-0.00002272,6.09,0.876,41.5455
12590,12    Per,14.037312,12.015355,15.611278,-0.00000177,-0.00000411,-0.00003138,4.91,0.582,24.1896
12598,,29.254978,25.055633,-1.581949,-0.00002082,0.00002457,0.00000401,9.0,0.967,38.5505
12606,,26.969564,23.106576,28.369707,-0.00000032,0.00002376,-0.00001905,8.7,0.715,45.4545
12609,,23.6016,20.233679,10.248174,-0.00002659,0.00002256,0.0000167,11.98,,32.7332
12620,Iot Hor,8.233473,7.066778,-13.303946,0.00000024,0.00003681,-0.00000075,5.4,0.561,17.1674
12646,,17.424673,15.007204,26.419809,0.00003016,0.00004065,-0.00004298,9.85,0.956,35.0263
12650,,33.300576,28.684478,-16.253292,-0.00000299,0.00000187,-0.00000282,9.85,0.993,46.8604
12652,,19.55247,16.844169,41.619617,0.00000279,-0.00000455,0.00000053,8.28,0.618,48.9716
12671,,4.421565,3.818177,-8.075542,-0.00000082,0.00000153,0.00000027,12.16,,9.9671
12673,Kaffaljidhma,18.440324,15.931398,1.377729,0.00000812,-0.00001588,-0.00001746,3.47,0.093,24.4081
12676,Gl 106,13.472383,11.644308,6.281109,-0.00000435,0.00004883,0.0000086,8.23,1.074,18.8822
12683,,24.271582,20.992492,-25.007331,-0.00000522,0.00001605,-0.00002337,8.04,0.745,40.6835
12690,,14.770008,12.790825,-20.556959,-0.00002776,-0.00001086,-0.00007566,9.04,1.04,28.3607
12693,,16.543797,14.329573,-42.806009,-0.00000215,-0.00000962,-0.00000405,7.44,0.588,48.0769
12716,GJ 1051,20.491288,17.795067,-4.215678,-0.00006097,0.00005596,-0.00010019,11.92,1.46,27.465
12731,,31.507846,27.393162,-4.395069,-0.00001875,0.00002197,0.00000247,7.07,0.534,41.9815
12734,,21.149563,18.397035,-36.098233,-0.00001883,0.00004816,0.00001351,10.61,1.024,45.7038
12744,13The Per,5.480091,4.772164,8.42701,0.00000323,0.0000267,0.00001573,4.1,0.514,11.1272
12746,,29.771444,25.934775,-18.831618,-0.00001614,0.00002707,0.00001175,9.05,0.854,43.7445
12747,,28.123338,24.49977,-17.786681,-0.00002349,0.00002324,0.00001268,6.96,0.634,41.3223
12748,Gl 109,5.109768,4.451981,3.235931,0.00000447,0.00004565,0.00000111,10.55,1.53,7.5098
12754,,25.844881,22.537181,6.641591,-0.00000652,0.00000919,-0.00000581,10.98,1.4,34.9284
12764,,30.691575,26.793442,-18.494537,-0.00001176,-0.00002165,-0.00005089,8.39,0.772,44.7427
12795,87Mu  Cet,19.080598,16.72475,4.526074,0.00000003,0.00004741,0.00000172,4.27,0.311,25.7732
12799,38    Ari,26.681853,23.391057,7.831218,-0.00001349,0.00001724,-0.00001503,5.17,0.234,36.3372
12804,,28.937003,25.381143,-15.68164,0.00000146,-0.00001284,-0.00001809,7.14,0.517,41.5628
12810,1Tau1Eri,10.131041,8.892749,-4.529443,0.0000042,0.00003404,-0.00000597,4.47,0.481,14.2207
12824,,32.485977,28.559547,4.211059,-0.00000302,0.00001003,-0.00004471,10.58,1.095,43.4594
12827,,18.766103,16.5037,-40.587637,-0.00002952,0.00010506,0.00002907,10.48,1.14,47.6644
12829,,36.73549,32.315097,4.032454,0.00000502,0.00002639,-0.00000819,6.04,0.312,49.0918
12853,GJ 3178A,12.252009,10.807423,16.308248,-0.00002287,0.00004097,-0.00000997,10.8,,23.084
12856,,29.247259,25.803885,-30.646939,-0.00000394,0.00005858,0.00004556,7.64,0.58,49.6032
12893,Gl 112,17.478405,15.498079,11.217216,-0.00000379,0.00003672,-0.00001056,7.89,0.84,25.9134
12896,Gl 112.1,11.725605,10.400234,3.267271,-0.00000272,0.00002513,-0.0000136,8.59,1.269,16.0102
12928,Koeia,15.812912,14.078244,-9.024692,-0.00001709,0.0000285,0.00001451,10.25,1.389,23.015
12931,,33.340413,29.692633,-17.712103,-0.00000573,0.00001861,0.000001,6.48,0.387,48.0307
